person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
25,306000,3,2.0,0,C,24250,13.85,0,0.08,0,3
26,300000,0,10.0,3,C,7800,13.49,0,0.03,0,4
21,12000,2,5.0,1,A,2500,7.51,1,0.21,0,4
22,48000,3,1.0,1,E,30000,18.39,1,0.63,0,2
24,64000,3,8.0,0,D,30000,14.54,1,0.47,1,3
25,75000,3,4.0,2,D,30000,16.89,1,0.4,1,4
26,62050,3,6.0,3,E,30000,17.99,1,0.41,0,2
24,12000,2,4.0,5,B,2500,12.69,1,0.21,0,3
26,300000,0,10.0,5,A,20000,7.88,0,0.07,0,4
23,300000,2,1.0,1,F,24250,19.41,0,0.08,1,2
26,300000,2,9.0,2,B,10000,10.38,0,0.03,0,4
26,300000,0,0.0,1,D,25000,15.33,0,0.08,0,3
25,300000,0,9.0,2,E,18000,16.45,0,0.06,0,3
26,80690,3,8.0,4,A,30000,7.49,1,0.37,0,3
22,66300,3,4.0,3,B,30000,12.69,1,0.38,0,3
26,89028,3,0.0,0,A,30000,6.62,1,0.34,0,3
23,78000,3,7.0,0,F,30000,18.62,1,0.38,1,3
23,92004,3,6.0,4,C,30000,15.23,1,0.33,1,3
23,97000,3,7.0,5,B,30000,10.65,1,0.31,0,2
25,120000,3,9.0,1,A,30000,7.9,0,0.25,0,4
26,280000,3,4.0,4,C,10000,15.96,0,0.04,1,3
26,277104,3,0.0,5,B,20000,11.48,0,0.07,0,3
25,128000,3,9.0,4,A,30000,7.29,0,0.23,0,4
21,131000,3,0.0,5,A,30000,5.99,0,0.23,0,4
22,275000,2,6.0,5,B,12000,11.58,0,0.04,0,2
25,221850,0,9.0,3,D,25000,15.7,1,0.1,0,2
22,70000,3,6.0,1,D,29100,15.99,1,0.42,0,3
22,12000,0,7.0,1,D,1500,14.84,0,0.13,1,3
26,260000,2,10.0,2,B,28000,10.99,0,0.11,0,3
25,259000,0,9.0,2,D,20000,14.42,0,0.08,1,2
24,255000,0,9.0,1,A,9600,6.99,0,0.04,0,2
25,250000,3,2.0,3,C,25000,13.49,0,0.1,0,4
21,12000,2,6.0,1,C,3000,13.61,1,0.25,1,3
23,65000,3,2.0,1,A,28000,7.9,1,0.43,0,2
26,85000,3,2.0,5,A,28000,7.49,1,0.33,0,3
26,12000,2,2.0,1,A,6100,7.51,1,0.51,0,3
22,88000,3,6.0,5,B,28000,9.91,1,0.32,0,3
21,12000,2,0.0,4,C,4200,13.48,1,0.35,1,4
22,12000,2,6.0,0,A,4750,7.14,1,0.4,0,2
24,83004,3,0.0,5,D,28000,15.99,1,0.34,1,4
24,250000,3,2.0,1,C,18000,12.98,0,0.07,1,3
25,100000,3,5.0,0,B,28000,12.69,0,0.28,0,3
26,110000,3,10.0,1,A,28000,8.9,0,0.25,0,2
23,151200,3,7.0,0,B,28000,11.11,0,0.19,0,2
21,12000,0,5.0,0,E,3250,15.68,1,0.27,1,3
22,70000,3,4.0,1,C,27500,13.06,1,0.39,1,3
26,73200,3,5.0,5,D,27050,15.62,1,0.37,1,2
24,83000,3,5.0,4,C,27000,13.49,1,0.33,1,2
23,62500,3,7.0,3,B,26000,11.71,1,0.42,0,2
23,120000,3,1.0,1,B,25600,12.69,0,0.21,0,3
24,12360,2,2.0,3,C,1600,13.57,0,0.13,0,3
22,60000,3,0.0,5,B,25475,10.99,1,0.42,0,3
25,234000,0,3.0,3,C,20000,14.27,0,0.09,1,4
24,234000,2,8.0,2,B,20000,8.88,0,0.09,0,4
26,234000,0,10.0,2,B,21600,12.18,0,0.09,0,3
25,221004,0,6.0,0,D,11900,14.42,1,0.05,1,3
26,232500,0,0.0,3,C,25000,14.17,0,0.11,1,2
25,230000,0,5.0,3,C,35000,13.99,0,0.15,0,4
23,83000,3,7.0,1,B,25300,10.99,1,0.3,0,3
25,12600,2,3.0,4,C,1750,13.61,0,0.14,0,3
21,42500,3,3.0,1,C,25000,12.73,1,0.59,1,3
25,12816,2,0.0,0,C,3000,12.87,1,0.23,1,4
24,12960,0,1.0,2,B,3650,9.91,1,0.28,0,3
26,226000,0,4.0,2,B,20000,11.49,0,0.09,0,4
25,225000,0,0.0,2,E,30000,19.91,0,0.13,1,2
26,213000,0,6.0,1,B,35000,10.65,1,0.16,0,2
24,12960,0,0.0,0,B,4500,11.83,1,0.35,0,4
23,12996,2,0.0,0,C,2400,13.49,1,0.18,1,2
22,42000,3,6.0,3,D,25000,14.59,1,0.6,1,2
26,48000,3,2.0,1,B,25000,9.64,1,0.52,0,4
25,12996,2,1.0,3,D,3600,14.59,1,0.28,0,3
25,42360,3,1.0,1,E,25000,16.35,1,0.59,1,3
21,49000,3,4.0,1,B,25000,10.99,1,0.51,0,2
25,225000,0,0.0,5,F,25000,18.67,0,0.11,0,2
26,225000,3,1.0,1,A,3000,9.32,0,0.01,0,4
23,225000,3,8.0,0,A,7500,8.63,0,0.03,0,2
26,225000,0,2.0,5,B,25000,10.08,0,0.11,0,2
22,49464,3,5.0,4,B,25000,11.83,1,0.51,0,3
23,50000,3,1.0,0,A,25000,7.9,1,0.5,0,3
25,50000,3,4.0,2,A,25000,5.99,1,0.5,0,2
24,44000,3,2.0,0,D,25000,15.33,1,0.57,0,2
23,50000,3,1.0,5,B,25000,11.83,1,0.5,0,4
22,50004,3,0.0,5,B,25000,10.36,1,0.5,0,2
22,50004,3,3.0,5,C,25000,12.23,1,0.5,0,3
22,52000,3,2.0,1,B,25000,11.11,1,0.48,0,4
23,13200,2,3.0,0,A,4950,7.9,1,0.38,0,4
24,220000,0,1.0,1,B,25000,11.58,0,0.11,0,2
23,216000,0,5.0,0,A,21000,8.9,0,0.1,0,3
25,216000,0,2.0,1,D,25000,16.07,0,0.12,0,3
26,216000,0,10.0,1,C,20000,14.22,0,0.09,1,2
23,215000,0,7.0,3,C,35000,14.79,0,0.16,1,3
26,215000,0,11.0,1,A,12000,7.88,0,0.06,0,2
23,52000,3,1.0,4,C,25000,13.22,1,0.48,0,2
26,46000,3,2.0,0,D,25000,11.86,1,0.54,0,4
22,53000,3,5.0,1,C,25000,13.43,1,0.47,1,4
26,47000,3,0.0,2,D,25000,15.28,1,0.53,1,2
23,47000,3,1.0,5,E,25000,17.93,1,0.53,0,2
23,13200,0,2.0,1,B,1400,9.25,0,0.11,0,4
21,13200,2,0.0,5,C,4500,12.98,1,0.34,0,4
22,210000,0,6.0,5,B,16000,10.62,0,0.08,0,4
26,210000,2,10.0,4,B,22000,11.83,0,0.1,0,4
26,48000,3,5.0,5,F,25000,18.43,1,0.52,0,2
23,55000,3,4.0,1,B,25000,11.36,1,0.45,0,3
23,55000,3,4.0,1,D,25000,15.65,1,0.45,1,3
24,55164,3,8.0,4,C,25000,13.22,1,0.45,1,4
26,56000,3,4.0,0,C,25000,12.87,1,0.45,0,2
24,203500,2,8.0,3,C,20000,13.04,0,0.1,0,3
23,190000,0,5.0,1,F,22000,17.58,1,0.12,1,3
23,13920,2,2.0,4,E,7750,17.04,1,0.56,0,4
24,60000,3,0.0,4,B,25000,10.99,1,0.42,0,3
24,60000,3,2.0,4,B,25000,11.11,1,0.42,0,3
26,54000,3,7.0,0,D,25000,14.83,1,0.46,1,2
24,200000,3,8.0,3,B,12000,12.69,0,0.06,0,2
24,200000,0,8.0,2,C,12000,13.49,0,0.06,0,2
21,200000,0,5.0,1,C,16000,14.65,0,0.08,0,4
25,54000,3,3.0,2,E,25000,16.82,1,0.46,0,4
23,60000,3,3.0,4,C,25000,12.73,1,0.42,0,3
23,60000,3,7.0,4,B,25000,10.25,1,0.42,0,4
21,60000,3,6.0,1,B,25000,10.99,1,0.42,0,4
25,61959,3,9.0,3,C,25000,12.73,1,0.4,0,2
22,56400,3,2.0,2,D,25000,14.96,1,0.44,1,3
21,200000,0,2.0,0,C,25000,13.99,0,0.13,0,2
24,200000,0,3.0,5,A,24000,7.49,0,0.12,0,4
26,200000,0,4.0,1,C,15000,14.79,0,0.07,0,3
25,200000,0,2.0,0,B,15500,11.99,0,0.08,0,2
24,200000,3,8.0,1,A,10000,8.49,0,0.05,0,4
24,66000,3,3.0,1,B,25000,9.91,1,0.38,0,2
22,66000,3,6.0,1,C,25000,13.06,1,0.38,1,3
22,200000,0,6.0,0,A,9000,6.17,0,0.04,0,4
25,200000,3,5.0,1,D,18000,16.32,0,0.09,0,3
25,200000,0,2.0,5,B,12000,10.38,0,0.06,0,2
25,200000,0,9.0,4,C,23050,14.35,0,0.12,0,3
26,66996,3,10.0,4,D,25000,15.21,1,0.37,1,2
23,67000,3,3.0,1,A,25000,7.9,1,0.37,0,4
24,67000,3,2.0,5,B,25000,10.99,1,0.37,0,3
24,68000,3,5.0,4,D,25000,14.09,1,0.37,1,3
25,69000,3,9.0,4,D,25000,17.49,1,0.36,0,2
25,200000,0,0.0,1,B,12000,11.48,0,0.06,0,3
26,188000,0,10.0,5,E,20000,17.74,1,0.11,0,2
26,200000,0,4.0,4,C,3000,13.92,0,0.01,0,3
25,69996,3,9.0,1,D,25000,15.21,1,0.36,0,3
22,14400,2,2.0,3,B,4000,10.99,1,0.28,0,3
24,70000,3,3.0,1,B,25000,11.86,1,0.36,0,4
24,14400,2,5.0,4,A,6000,7.49,1,0.42,0,3
24,56100,3,7.0,3,D,25000,16.49,1,0.38,0,4
25,66000,3,9.0,5,D,25000,15.33,1,0.38,1,2
26,66000,3,3.0,2,B,25000,11.58,1,0.38,0,4
25,14400,2,7.0,1,A,5375,5.79,1,0.37,0,2
25,72612,3,9.0,3,C,25000,13.11,1,0.34,0,2
23,74000,3,3.0,3,B,25000,10.36,1,0.34,0,3
25,75000,3,9.0,0,B,25000,10.36,1,0.33,0,2
25,191000,0,1.0,3,B,10000,12.53,0,0.05,0,4
24,75000,3,4.0,1,B,25000,10.25,1,0.33,0,4
22,71000,3,1.0,1,D,25000,15.95,1,0.35,1,4
26,190000,0,3.0,5,B,20000,12.18,0,0.11,0,4
23,189996,2,0.0,4,B,24000,11.83,0,0.13,0,3
23,78000,3,1.0,5,B,25000,10.62,1,0.32,0,3
23,78504,3,7.0,5,B,25000,10.74,1,0.32,0,3
25,186000,2,9.0,5,B,10000,10.25,0,0.05,0,4
25,185000,3,6.0,5,C,15000,15.27,0,0.08,0,2
24,62050,3,8.0,3,D,25000,15.33,1,0.34,1,2
23,79416,3,7.0,5,D,25000,15.21,1,0.31,1,2
21,14400,2,4.0,5,C,6250,14.72,1,0.43,0,2
24,79631,3,8.0,4,D,25000,15.7,1,0.31,1,2
24,79632,3,0.0,1,C,25000,13.35,1,0.31,0,4
24,80000,3,6.0,1,A,25000,6.62,1,0.31,0,2
26,80000,3,5.0,0,C,25000,13.61,1,0.31,0,4
22,185000,3,4.0,3,B,25000,11.36,0,0.14,0,2
26,185000,2,10.0,4,A,5000,7.68,0,0.03,0,2
24,184992,3,7.0,2,D,22000,14.46,0,0.12,1,4
23,184000,2,5.0,1,B,2500,11.83,0,0.01,0,2
24,172000,0,6.0,0,C,20000,13.47,1,0.12,1,4
24,183000,0,2.0,3,B,20000,11.49,0,0.11,0,3
25,182952,0,9.0,4,A,15000,6.03,0,0.08,0,3
23,74004,3,7.0,0,E,25000,16.35,1,0.34,0,4
25,81000,3,5.0,0,A,25000,7.29,1,0.31,0,3
23,81600,3,1.0,3,B,25000,11.36,1,0.31,0,3
24,82000,3,8.0,5,B,25000,10.25,0,0.3,0,2
24,83000,3,5.0,1,B,25000,11.12,0,0.3,0,3
24,83000,3,5.0,4,D,25000,12.92,0,0.3,1,3
24,180000,3,8.0,1,E,18000,18.64,0,0.1,1,4
23,180000,0,8.0,4,A,28000,7.51,0,0.16,0,3
23,14400,2,2.0,2,E,4000,16.7,1,0.28,0,2
22,14400,2,0.0,4,B,2100,11.14,0,0.15,0,4
22,84500,3,6.0,4,F,25000,18.3,0,0.3,0,4
24,85000,3,5.0,3,B,25000,10.62,0,0.29,0,4
24,180000,0,7.0,5,B,14000,11.99,0,0.08,0,2
26,180000,0,2.0,5,B,12000,9.63,0,0.07,0,4
25,142800,0,9.0,3,F,10000,18.25,1,0.06,0,4
24,87000,3,8.0,2,D,25000,14.84,0,0.29,0,3
24,75000,3,0.0,5,E,25000,14.7,1,0.33,1,3
23,76000,3,7.0,0,D,25000,16.02,1,0.33,0,4
23,66215,3,1.0,3,D,25000,15.37,1,0.32,1,2
25,90000,3,9.0,3,B,25000,10.99,0,0.28,0,4
21,15000,2,0.0,2,A,6200,7.9,1,0.41,0,2
26,180000,2,2.0,4,B,25000,10.99,0,0.14,0,4
24,180000,2,8.0,1,B,21000,11.48,0,0.12,0,3
25,180000,2,9.0,3,C,20000,14.26,0,0.11,1,4
26,180000,2,0.0,2,A,10000,8.0,0,0.06,0,4
25,180000,0,3.0,5,B,9950,11.26,0,0.06,0,2
23,78000,3,2.0,5,D,25000,16.32,1,0.32,1,3
25,66300,3,3.0,3,E,25000,17.93,1,0.32,1,4
23,90000,3,0.0,0,B,25000,11.36,0,0.28,0,3
24,79000,3,9.0,0,D,25000,14.96,1,0.32,1,4
24,91800,3,4.0,4,C,25000,13.43,0,0.27,1,3
25,92000,3,6.0,2,B,25000,12.69,0,0.27,0,3
24,92000,3,1.0,5,C,25000,12.73,0,0.27,1,4
23,93600,3,3.0,5,D,25000,15.21,0,0.27,0,4
23,15000,0,1.0,3,C,1750,12.68,0,0.12,1,3
23,70550,3,3.0,3,F,25000,19.04,1,0.3,1,4
25,83800,3,2.0,0,D,25000,15.95,1,0.3,1,3
26,175000,0,3.0,5,A,2600,8.9,0,0.01,0,4
25,175000,0,10.0,2,A,8000,7.9,0,0.05,0,2
23,175000,0,8.0,4,B,21000,11.99,0,0.12,0,3
23,15000,2,4.0,0,C,4000,13.98,1,0.27,0,4
23,15000,2,4.0,5,B,4600,10.99,1,0.31,0,2
22,88000,3,6.0,0,D,25000,15.58,1,0.28,1,2
25,74800,3,2.0,3,B,25000,10.99,1,0.28,0,2
25,88000,3,0.0,5,D,25000,14.96,1,0.28,0,4
25,15000,2,2.0,2,D,1750,15.31,0,0.12,1,4
26,88000,3,2.0,5,D,25000,15.65,1,0.28,0,3
25,100000,3,1.0,5,B,25000,9.33,0,0.25,0,4
23,15000,0,0.0,4,C,3600,13.47,1,0.24,0,4
24,102400,3,8.0,4,B,25000,10.36,0,0.24,0,3
24,92000,3,1.0,2,E,25000,16.77,1,0.27,1,4
23,93000,3,0.0,0,D,25000,14.59,1,0.27,1,2
22,175000,3,6.0,5,C,3500,11.91,0,0.02,1,2
23,175000,0,3.0,1,A,7200,8.38,0,0.04,0,3
25,174708,3,9.0,5,B,9000,10.59,0,0.05,0,3
25,174000,0,2.0,0,C,8800,14.27,0,0.05,0,3
26,174000,3,8.0,0,B,12000,12.53,0,0.07,0,4
25,162000,0,5.0,0,E,25000,16.0,1,0.15,1,3
26,173467,0,10.0,5,B,10000,11.71,0,0.06,0,4
21,15000,2,0.0,2,C,3175,11.54,1,0.21,1,3
25,96000,3,2.0,2,E,25000,15.68,1,0.26,1,4
21,15120,0,0.0,1,B,1500,10.59,0,0.1,0,2
24,97908,3,8.0,2,D,25000,12.61,1,0.26,1,2
23,15204,0,7.0,4,A,2800,8.49,1,0.18,0,3
25,159600,3,0.0,4,D,30000,17.27,1,0.19,1,4
24,171500,3,6.0,0,A,18000,8.9,0,0.1,0,4
25,170004,0,3.0,3,B,10000,11.11,0,0.06,0,4
24,158004,3,0.0,2,D,25000,14.59,1,0.16,1,2
26,170000,3,0.0,5,B,13000,12.42,0,0.08,0,3
24,110000,3,7.0,2,D,25000,15.7,0,0.23,1,2
22,15360,2,7.0,2,B,2500,12.53,1,0.16,0,3
25,134300,3,3.0,3,D,5000,16.49,1,0.03,0,2
25,170000,0,2.0,1,A,20000,7.49,0,0.12,0,2
22,100580,3,6.0,0,D,25000,14.96,1,0.25,1,2
25,113000,3,7.0,3,C,25000,12.73,0,0.22,1,4
24,120000,3,8.0,1,B,25000,10.65,0,0.21,0,4
25,120000,3,6.0,3,B,25000,10.74,0,0.21,0,2
23,120000,3,7.0,1,B,25000,9.99,0,0.21,0,2
24,91800,3,5.0,3,D,25000,15.33,1,0.23,1,2
21,15600,2,5.0,5,A,1000,7.29,0,0.06,0,4
26,108000,3,2.0,4,D,25000,15.05,1,0.23,0,3
26,129996,3,6.0,4,B,25000,10.75,0,0.19,0,3
23,130000,3,4.0,1,D,25000,16.02,0,0.19,1,2
23,130000,3,7.0,5,B,25000,11.49,0,0.19,0,4
25,170000,2,4.0,1,B,20000,12.53,0,0.12,0,4
26,170000,0,0.0,5,C,12000,13.57,0,0.07,1,2
22,169000,3,1.0,4,B,14000,11.14,0,0.08,0,3
26,168750,3,10.0,3,C,24250,12.87,0,0.14,1,3
23,168600,3,3.0,1,B,20000,11.58,0,0.12,0,3
24,168288,3,5.0,2,B,1800,11.12,0,0.01,0,3
25,168000,0,2.0,4,B,35000,10.65,0,0.21,0,2
24,133300,3,6.0,0,B,25000,10.37,0,0.19,0,2
24,15600,2,5.0,2,A,3300,6.39,1,0.21,0,4
24,134000,3,8.0,4,D,25000,16.07,0,0.19,1,3
25,134000,3,7.0,3,B,25000,10.62,0,0.19,0,2
25,15600,2,0.0,5,F,3200,18.09,1,0.21,0,2
25,135000,3,5.0,1,B,25000,11.36,0,0.19,0,4
26,135660,3,10.0,0,B,25000,12.53,0,0.18,0,4
25,145000,3,0.0,1,B,25000,9.99,0,0.17,0,4
23,150000,3,4.0,1,B,25000,10.36,0,0.17,0,3
23,165000,0,3.0,1,A,9600,5.99,0,0.06,0,3
22,153000,0,5.0,0,D,24000,15.62,1,0.16,1,2
24,165000,0,5.0,4,B,20000,10.37,0,0.12,0,4
25,165000,0,0.0,2,F,25000,19.74,0,0.15,0,4
21,165000,0,5.0,1,A,20000,6.91,0,0.12,0,4
23,16000,2,7.0,3,A,6000,7.9,1,0.38,0,2
23,16000,0,3.0,0,C,2275,13.06,0,0.14,1,4
23,16000,2,7.0,4,A,2000,6.39,0,0.13,0,3
23,148000,3,1.0,0,E,25000,14.93,1,0.17,0,3
23,16000,0,1.0,3,C,5600,12.84,1,0.35,0,4
24,16020,2,3.0,5,E,3625,17.14,1,0.23,1,2
22,16094,0,2.0,5,A,5500,7.14,1,0.34,0,3
25,175000,3,2.0,4,A,25000,8.9,0,0.14,0,2
22,16200,2,6.0,4,B,2000,12.42,0,0.12,0,3
24,185000,3,7.0,2,C,25000,12.68,0,0.14,1,2
25,162000,3,9.0,4,C,25000,11.03,0,0.15,0,2
26,161000,3,10.0,5,A,30000,7.9,0,0.19,0,4
22,160000,0,0.0,3,B,35000,10.65,0,0.22,0,4
25,225000,3,5.0,5,B,25000,11.86,0,0.11,0,4
25,16400,2,1.0,4,A,5000,8.94,1,0.3,0,4
23,16500,2,6.0,5,B,4375,9.63,1,0.27,0,4
25,49500,3,6.0,4,C,24750,14.22,1,0.5,0,3
23,60000,3,4.0,0,B,24750,9.33,1,0.41,0,3
24,84200,3,8.0,3,C,24500,13.85,0,0.29,0,4
22,16800,0,5.0,1,B,2000,10.65,0,0.12,0,2
24,92000,3,8.0,3,B,24500,11.46,0,0.27,0,4
23,160000,0,5.0,4,A,35000,7.66,0,0.22,0,2
24,160000,0,9.0,5,E,12000,16.77,0,0.07,0,4
25,160000,0,1.0,4,B,12000,9.63,0,0.07,0,4
26,160000,3,6.0,4,C,25000,12.23,0,0.16,1,4
25,125800,0,0.0,3,D,10000,14.09,1,0.07,0,4
25,54000,3,2.0,4,C,24250,13.98,1,0.45,0,4
23,62500,3,1.0,1,B,24250,10.62,1,0.39,0,4
25,68400,3,9.0,4,E,24250,17.56,1,0.35,0,4
26,56045,3,1.0,3,D,24250,14.96,1,0.37,0,2
22,74000,3,7.0,0,D,24250,15.65,1,0.33,1,2
24,65453,3,9.0,3,D,24250,15.7,1,0.31,0,2
24,89908,3,1.0,5,B,24250,12.53,0,0.27,0,3
26,78000,3,0.0,2,E,24250,17.56,1,0.31,1,3
23,100000,3,0.0,4,C,24250,12.87,0,0.24,1,2
23,103000,3,6.0,4,D,24250,15.7,0,0.24,0,2
25,160000,2,5.0,5,B,15000,11.14,0,0.09,0,4
24,160000,0,3.0,5,D,20000,16.0,0,0.13,0,3
23,160000,0,2.0,1,D,25000,15.65,0,0.16,1,2
21,160000,0,3.0,5,D,15250,15.31,0,0.1,1,4
25,160000,0,3.0,5,C,20000,13.47,0,0.13,1,2
22,16800,0,0.0,2,C,4750,13.85,1,0.28,1,2
21,16800,0,0.0,5,B,6000,10.39,1,0.36,0,4
25,115200,3,0.0,2,B,24250,11.36,0,0.21,0,2
23,144000,3,0.0,1,B,24250,11.83,0,0.17,0,3
23,287000,3,3.0,1,B,24250,12.53,0,0.08,0,3
22,108000,3,1.0,2,D,24150,14.96,1,0.22,1,3
22,43000,3,7.0,0,C,24000,13.85,1,0.56,1,3
23,47004,3,1.0,5,B,24000,11.58,1,0.51,0,4
24,48000,3,4.0,5,D,24000,16.29,1,0.5,1,2
21,44964,3,2.0,1,D,24000,16.29,1,0.53,1,2
24,47000,3,3.0,4,F,24000,17.8,1,0.51,0,2
22,17400,0,6.0,5,B,1000,11.36,0,0.06,0,2
22,49000,3,2.0,3,E,24000,17.56,1,0.49,0,4
26,60000,3,0.0,4,A,24000,7.9,1,0.4,0,4
25,60000,3,3.0,4,B,24000,10.99,1,0.4,0,4
22,60000,3,0.0,4,A,24000,7.29,1,0.4,0,3
21,60000,3,5.0,3,B,24000,10.75,1,0.4,0,2
26,62004,3,9.0,0,A,24000,7.9,1,0.39,0,3
22,62400,3,3.0,1,D,24000,14.84,1,0.38,0,2
23,59000,3,5.0,0,E,24000,19.69,1,0.41,1,2
24,60000,3,0.0,5,D,24000,14.96,1,0.4,0,4
25,66143,3,9.0,1,A,24000,6.99,1,0.36,0,3
22,62250,3,3.0,4,E,24000,16.45,1,0.39,1,4
24,70000,3,8.0,1,B,24000,10.99,1,0.34,0,4
23,74000,3,7.0,0,B,24000,10.99,1,0.32,0,2
22,18000,2,3.0,4,A,3000,7.9,1,0.17,0,4
22,75000,3,6.0,1,B,24000,12.69,1,0.32,0,4
24,75000,3,9.0,3,B,24000,10.37,1,0.32,0,3
26,69000,3,0.0,0,F,24000,15.83,1,0.35,0,3
23,78000,3,4.0,4,C,24000,13.92,1,0.31,0,3
24,80000,3,2.0,3,B,24000,10.25,0,0.3,0,2
22,18000,2,1.0,2,A,3500,7.49,1,0.19,0,4
23,18000,2,3.0,1,A,4000,5.99,1,0.22,0,2
23,74700,3,6.0,4,D,24000,12.92,1,0.32,0,2
26,88596,3,3.0,4,B,24000,11.58,0,0.27,0,3
25,95000,3,4.0,1,A,24000,8.9,0,0.25,0,2
22,83000,3,6.0,0,E,24000,19.69,1,0.29,0,3
25,95000,3,9.0,5,A,24000,6.54,0,0.25,0,4
21,18000,2,3.0,2,D,4900,14.54,1,0.27,1,4
26,100000,3,5.0,4,C,24000,12.73,0,0.24,0,4
24,110000,3,7.0,5,D,24000,15.62,0,0.22,0,4
24,18000,2,0.0,2,A,6250,6.54,1,0.35,0,4
26,103872,3,6.0,0,G,24000,20.03,1,0.23,0,4
22,120000,3,4.0,1,B,24000,9.91,0,0.2,0,4
24,120000,3,1.0,5,B,24000,12.69,0,0.2,0,4
26,108000,3,9.0,1,G,24000,20.16,1,0.22,0,3
24,124080,3,4.0,4,D,24000,16.49,0,0.19,1,4
23,18000,0,1.0,3,D,2500,15.95,1,0.14,0,2
24,130000,3,7.0,0,B,24000,11.49,0,0.18,0,3
25,135000,3,8.0,4,B,24000,10.99,0,0.18,0,2
24,135000,3,4.0,2,C,24000,13.79,0,0.18,0,2
23,114750,3,2.0,3,G,24000,20.03,1,0.18,1,3
23,150000,3,0.0,1,A,24000,7.49,0,0.16,0,4
23,138000,3,7.0,0,D,24000,16.0,1,0.17,1,2
24,18000,2,6.0,4,A,13000,7.88,1,0.72,0,3
21,18000,2,0.0,5,B,6250,10.62,1,0.35,0,4
26,155000,3,7.0,0,B,24000,10.99,0,0.15,0,4
26,148000,3,1.0,1,F,24000,18.3,1,0.16,0,2
21,18000,2,1.0,4,B,2500,11.36,0,0.14,0,3
23,120000,3,4.0,3,C,23750,13.47,0,0.2,0,2
24,54996,3,2.0,4,B,23600,11.89,1,0.43,0,3
24,18000,0,0.0,0,B,10000,12.18,1,0.56,0,2
25,102000,3,9.0,0,C,23600,13.49,0,0.23,0,4
23,75000,3,3.0,4,E,23575,14.5,1,0.31,0,4
22,18000,2,1.0,3,D,5400,15.31,1,0.3,1,2
22,66960,3,1.0,5,A,23400,7.49,1,0.35,0,2
23,60000,3,2.0,5,B,23000,12.18,1,0.38,0,4
24,18000,0,3.0,5,C,1200,11.34,0,0.07,1,4
25,63208,3,9.0,1,B,23000,9.91,1,0.36,0,3
24,65000,3,0.0,2,B,23000,11.99,1,0.35,0,4
23,68000,3,7.0,1,B,23000,9.62,1,0.34,0,2
22,18000,2,1.0,0,B,3000,9.96,1,0.17,0,3
24,88000,3,1.0,5,D,23000,14.54,1,0.26,0,2
22,58600,3,5.0,3,B,22750,11.36,1,0.39,0,4
23,70000,3,7.0,0,C,22500,14.27,1,0.32,0,2
24,18287,2,3.0,2,B,3000,11.99,1,0.16,0,3
26,69846,3,2.0,1,F,22500,18.99,1,0.32,1,2
24,73000,3,0.0,5,E,22400,16.7,1,0.31,1,4
24,18500,0,8.0,4,A,5000,9.32,1,0.27,0,3
23,35000,3,2.0,0,B,22250,12.69,1,0.64,0,3
